,simulation_name,method_name,step_size,tolerance,total_iteration,simulation_time,computation_time
266,cnn_hole_fill_2,rk55_system_method,1.5,5e-05,25,7.091909132479248,8.157179355621338
267,cnn_hole_fill_2,rk55_system_method,1.75,5e-05,24,6.606755583582852,7.4475133419036865
268,cnn_hole_fill_2,rk55_system_method,2.0,5e-05,21,6.67379473084119,5.600194931030273
269,cnn_hole_fill_2,rk55_system_method,2.25,5e-05,22,6.657381489616367,6.113014936447144
270,cnn_hole_fill_2,rkhm_system_method,0.1,1.25,16,19.323507878117585,2.261972427368164
271,cnn_hole_fill_2,rkhm_system_method,0.25,1.25,11,8.155965274312342,1.470494031906128
272,cnn_hole_fill_2,rkhm_system_method,0.5,1.25,10,8.068549542901046,1.354254961013794
273,cnn_hole_fill_2,rkhm_system_method,0.75,1.25,12,14.309278056858574,1.5450220108032229
274,cnn_hole_fill_2,rkhm_system_method,1.0,1.25,18,30.0,3.1987862586975098
275,cnn_hole_fill_2,rkhm_system_method,1.25,1.25,18,30.0,3.1178386211395264
276,cnn_hole_fill_2,rkhm_system_method,1.5,1.25,13,17.609861002197434,1.9565985202789309
277,cnn_hole_fill_2,rkhm_system_method,1.75,1.25,10,8.534206211764927,1.5593485832214355
278,cnn_hole_fill_2,rkhm_system_method,2.0,1.25,14,17.880160935504858,2.569275379180908
279,cnn_hole_fill_2,rkhm_system_method,2.25,1.25,12,12.778422443915098,1.939735412597656
280,cnn_hole_fill_2,rkhm_system_method,0.1,1.0,13,9.941393591755276,1.5966401100158691
281,cnn_hole_fill_2,rkhm_system_method,0.25,1.0,12,9.625104640248791,1.4018175601959229
282,cnn_hole_fill_2,rkhm_system_method,0.5,1.0,11,8.875712172555035,1.4138832092285156
